age,qx
0,0.01225513
1,0.0007446
2,0.00059255
3,0.00047361
4,0.0003821
5,0.00031305
6,0.00026254
7,0.00022731
8,0.00020513
9,0.00019483
10,0.00019663
11,0.00021238
12,0.00024578
13,0.00030333
14,0.00039257
15,0.00052122
16,0.00068876
17,0.00088077
18,0.00107139
19,0.00122802
20,0.00133786
21,0.00140372
22,0.00144143
23,0.00146971
24,0.00149715
25,0.00152818
26,0.00155968
27,0.00158693
28,0.00160789
29,0.00162222
30,0.00163382
31,0.00164789
32,0.00166949
33,0.00170344
34,0.00175224
35,0.00181765
36,0.00189983
37,0.00199829
38,0.00211205
39,0.00223964
40,0.00237915
41,0.00252821
42,0.00268535
43,0.00284968
44,0.00302275
45,0.00320791
46,0.00341021
47,0.00363605
48,0.00389069
49,0.00417871
50,0.00450237
51,0.00486193
52,0.00525639
53,0.00568327
54,0.00613958
55,0.00662179
56,0.00712818
57,0.00765925
58,0.00822243
59,0.00883287
60,0.00951385
61,0.0102976
62,0.01121004
63,0.01226796
64,0.01346302
65,0.01475183
66,0.01607494
67,0.01735947
68,0.01857029
69,0.01973329
70,0.02093226
71,0.02232201
72,0.02405126
73,0.02624783
74,0.02898701
75,0.03223549
76,0.03590942
77,0.03985934
78,0.04397856
79,0.04831009
80,0.05302085
81,0.05848251
82,0.06507325
83,0.07304078
84,0.08243098
85,0.09277201
86,0.1033211
87,0.11318113
88,0.12164666
89,0.1288042
90,0.13526565
91,0.14261934
92,0.1510398
93,0.16074864
94,0.17203104
95,0.18525967
96,0.20092959
97,0.21971056
98,0.24252683
99,0.27068078
100,0.30604667
101,0.35137116
102,0.41070956
103,0.48989886
104,0.59625992
105,0.73375893
106,0.88318422
107,0.97987494
108,0.9995223
109,0.99999977
110,1
